pmid,title,abstract,authors,year,journal,search_label,decision
42291549,Genetics of supraventricular tachycardia: current evidence with a focus on translational relevance and personalized medicine.,"Supraventricular tachycardias (SVTs) are among the most common arrhythmias encountered in clinical practice and, despite generally low mortality, impose substantial morbidity and healthcare utilization. Clinical heterogeneity in age of onset, recurrence, symptom burden, and overlap with conduction disease or cardiomyopathy suggests underlying biological determinants, including inherited susceptibility. Over the past decade, advances in human genomics have expanded evidence from familial aggregation and rare syndromic disorders to population-scale genome-wide association studies (GWAS), but routine translation into SVT care remains limited. Narrative review of guideline-based SVT definitions and mechanistic frameworks, familial and rare-variant studies, GWAS/meta-analyses across SVT subtypes (AVNRT, accessory pathway-mediated AVRT/WPW, and focal atrial tachycardia), and translational literature on biomarkers (including microRNA/exosomal biology), functional validation models, and implementation considerations (yield, cost-effectiveness, ethics, and governance). SVT demonstrates subtype-specific genetic architecture. AVNRT is supported by familial clustering and polygenic/oligogenic susceptibility, with GWAS signals implicating developmental and myocardial structural pathways (e.g., NKX2-5, TTN, MYH6). Accessory pathway-mediated AVRT/WPW shows the clearest genotype-to-substrate relationship, with common and rare variation implicating conduction and junctional developmental biology (including SCN5A/SCN10A- and CCDC141-linked signals, and emerging family-based discoveries such as MRC2). In contrast, the genetic basis of focal atrial tachycardia remains underpowered and mechanistically heterogeneous. The highest current clinical utility of genetics lies in identifying syndromic and cardiomyopathy-associated SVT (e.g., PRKAG2, LAMP2), where diagnosis alters prognosis, surveillance, and cascade screening. Genetic discoveries are reshaping SVT from a purely ""functional"" arrhythmia toward a spectrum of inherited electrophysiologic and myocardial disease. While routine genetic testing is not indicated for most isolated SVT, phenotype-guided evaluation, improved functional models, and implementation frameworks may enable targeted, patient-centred personalization particularly in early-onset, familial, or cardiomyopathy-overlap presentations.",Esmailian Amin; Alasti Mohammad,2026,Frontiers in cardiovascular medicine,Financing / reimbursement — supplementary,pending
42284323,Cardiologists' perspectives on pharmacogenomics implementation in a hybrid health system: A qualitative study from the United Arab Emirates.,"Pharmacogenomics (PGx) can optimise cardiovascular therapy, yet routine integration in cardiology remains limited. In the United Arab Emirates, a hybrid public-private health system, the real-world PGx use is still emerging. However, there is limited understanding of how cardiologists perceive and navigate PGx implementation within such complex health system contexts. To examine cardiologists' perspectives on the feasibility, barriers, and facilitators of implementing PGx using the Consolidated Framework for Implementation Research (CFIR). A qualitative study using an abductive analytical approach was conducted through semi-structured interviews with 15 cardiologists from public and private institutions. Participants were recruited via purposive, convenience, and snowball sampling. Interviews were transcribed verbatim and thematically analysed in NVivo. The CFIR guided the analysis across intervention characteristics, outer setting, inner setting, individual characteristics, and process. Clinicians expressed strong conceptual support for PGx, especially in higher-risk scenarios, but reported limited hands-on exposure and confidence. Barriers included perceived test complexity, cost, and lack of reimbursement; insufficient laboratory capacity and EHR integration; unclear workflows and role ownership; and turnaround times misaligned with acute care. Outer-setting constraints (ambiguous policy signals and payer criteria) and inner-setting variability (resources, leadership engagement, and communication pathways) further limited uptake. Reported facilitators included multidisciplinary service models (with input from pharmacists and genetics), targeted case-based training, initial deployment in non-acute contexts, and the structured capture of results with EHR-embedded clinical decision support. PGx implementation in cardiology within the UAE is shaped by structural, organisational, and workforce-level gaps. Addressing these through targeted clinical guidance, improved training, stronger reimbursement mechanisms, enhanced laboratory capacity, and integrated digital decision support may enable more equitable and scalable adoption. These findings provide actionable insights for health systems seeking to operationalise PGx within diverse or hybrid healthcare contexts.",Abbas Maram O; Rahma Azhar T; Elbarazi Iffat; Ali Bassam R; Patrinos George P; Ghadibah Hana; Al Muaini Amna; Al-Maskari Fatma,2026,PloS one,Financing / reimbursement — supplementary,pending
42281508,Optimizing pharmacogenomics workflows: a qualitative evaluation of clinical service delivery models.,"Despite the promise of personalized medicine, the clinical implementation of pharmacogenomics (PGx) remains limited. Several barriers limiting implementation of PGx have been identified, some of which include provider awareness, uncertainty of clinical utility, and reimbursement issues. As clinical PGx programs have increased, different service models have been established; however, none have been formally described. We aimed to describe and compare current service models to establish a best practice workflow for future PGx programs. Qualitative interviews with 15 PGx providers across the United States were conducted and analyzed using an inductive content analysis approach. All respondents had an e-consult (provider-to-provider) model, with seven also providing a PGx specialty clinic for patients. Reported challenges include lengthy testing processes, scheduling delays, and billing uncertainty. The majority of participants described an ideal PGx workflow as a ""low-touch"" tiered approach where frontline pharmacists offer testing, and PGx experts are a resource for complex drug-gene interactions. This tiered approach should be explored for future PGx implementations.",Huang Emily; Obeng Aniwaa Owusu; Stuart Scott A; Naik Hetanshi,2026,Pharmacogenomics,Financing / reimbursement — supplementary,pending
42253051,Digital biomarkers in chronic disease management: a systematic review of personalization and ethical challenges.,"Chronic diseases remain leading contributors to global mortality, yet digital biomarkers offer transformative potential for personalized management. This systematic review evaluates the clinical performance of digital biomarkers across multiple chronic disease areas and the ethical, privacy, and equity barriers to their adoption. Following PRISMA guidelines, we searched PubMed (January 2010-August 2024) for studies evaluating digital biomarkers in chronic disease management. English-language, peer-reviewed studies reporting original empirical data were included; reviews and protocols were retained as contextual references. Study quality was assessed qualitatively given heterogeneity in designs and outcome metrics, precluding meta-analysis. Sixty-eight studies (33 primary empirical, 35 contextual) were included, spanning cardiovascular disease, diabetes, respiratory conditions, neurological disorders, and mental health. Key findings included 100% atrial fibrillation detection sensitivity (KardiaMobile), 92-94% seizure detection sensitivity (Embrace Watch), significant HbA1c improvement with smart insulin pens ( Digital biomarkers demonstrate strong clinical utility but require harmonized regulatory standards, diverse-population validation, algorithmic transparency, and expanded reimbursement to achieve equitable, personalized chronic disease management. Evidence remains preliminary, necessitating large-scale, multi-site trials.",Manikandan Shrivats; Shore Steiv; Waszczuk Daniel; Miriyala Sumitra; Sadanala Gayathri,2026,Personalized medicine,Financing / reimbursement — supplementary,pending
42251043,Cost-effectiveness of genome-guided statin treatment for hypercholesterolemia.,"Cardiovascular disease and hypercholesterolemia present significant global health and economic burdens. While statins are the standard treatment, individual variability and toxicities necessitate personalized approaches. This narrative review (2013-2025) evaluated the economic landscape of pharmacogenomics (PGx)-guided statin therapy and factors influencing its cost-effectiveness. Out of 219 studies, only four relevant evaluations were identified, all focusing on North American (United States & Canada) cohorts and published before 2019. Most models relied on literature-based simulations and utility data, introducing significant parameter uncertainty. Nevertheless, PGx-guided strategies generally proved cost-effective or dominant, particularly at higher willingness-to-pay thresholds, such as $50,000/QALY. In conclusion, PGx-guided therapy offers a viable pathway for improving clinical outcomes and economic efficiency. However, a paucity of raw clinical data and geographic diversity currently limit its standardized adoption. Future research must leverage real-world evidence from ongoing trials to inform robust, value-based healthcare policy.",Koufaki Margarita-Ioanna; Tzerefou Korina; Tyrovolas Achilleas; Gasic Vladimir; Fragoulakis Vassilios; Mitropoulou Christina,2026,The pharmacogenomics journal,Financing / reimbursement — supplementary,pending
42224642,Tumor-Agnostic Therapies: Translating Scientific Breakthroughs Into Global Implementation.,"Cancer treatment is evolving from organ-based classification toward biomarker-driven precision medicine, culminating in the development of tumor-agnostic therapies approved based on molecular characteristics, irrespective of tumor origin. Since the US Food and Drug Administration's landmark 2017 approval of pembrolizumab for microsatellite instability-high tumors, nine tumor-agnostic drugs have been approved, offering unprecedented treatment options for patients with rare cancers and actionable genomic alterations. However, this scientific breakthrough has revealed profound global implementation challenges. We reviewed the current landscape of tumor-agnostic drug approvals, regulatory pathways, and implementation experiences across multiple regions, including Europe, Asia-Pacific, Latin America, Africa, and the Middle East. Barriers to access were examined across regulatory, reimbursement, infrastructure, and workforce domains to inform a conceptual framework for implementation. Access remains inconsistent even in high-resource settings, with fewer than 50% of eligible patients receiving matched therapies. In Europe, centralized regulatory approval through the European Medicines Agency contrasts sharply with fragmented national reimbursement decisions, creating delays in access. Asia-Pacific nations demonstrate rapid growth in tumor-agnostic approvals and drug development capacity, although significant urban-rural disparities persist. Latin America, Africa, and areas in the Middle East face fundamental barriers, including limited testing infrastructure, workforce shortages, and competing health care priorities. To address these challenges, we propose a four-pillar framework for equitable implementation: comprehensive biomarker testing capability, innovative clinical trial designs with decision-support systems, harmonized regulatory approval and reimbursement mechanisms, and investment in genomically competent workforce development. International initiatives including Project Orbis and cross-border trial consortia demonstrate promising models for regulatory convergence. Realizing the transformative potential of tumor-agnostic therapies requires coordinated global strategies that bridge the divide between genomic innovation and geographic accessibility, ensuring all patients benefit regardless of socioeconomic status or location.",Liu Jia; Beal Juliana; Coleman Niamh; Ma Brigette B Y; Loong Herbert H; Zhao Hongyun; Seymour Lesley; Westphalen Christoph Benedikt; Curigliano Giuseppe; Subbiah Vivek,2026,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,Financing / reimbursement — supplementary,pending
42209751,From evidence to implementation: key priorities for pharmacogenomics-guided treatment and prevention from a European expert workshop.,"Pharmacogenomics holds promise for enhancing drug safety and efficacy, paving the way for more precise, patient-centered therapeutic approaches and supporting personalized medicine and prevention. However, its routine integration into healthcare remains limited. A European multidisciplinary expert workshop was held in Amsterdam in January 2025, to share experiences regarding the priorities to further implement pharmacogenomic-guided treatment and prevention into clinical practice. A qualitative content analysis was conducted to identify key themes to support improved implementation of pharmacogenomics. The analysis drew on inputs from a multi-stakeholder workshop involving 55 participants from 10 European countries, representing policy, healthcare, academia, patient organizations and industry. The paper is centered around three central pillars to implement pharmacogenomics: evidence, acceptance, and integration into healthcare systems. Based on the expert presentations and discussions, five key priorities were identified for advancing pharmacogenomics: 1) the need for robust clinical and health economic evaluations to support funding and reimbursement decisions, 2) education and training for healthcare professionals, and raising awareness of pharmacogenomics among policymakers and the public, 3) investment in information technology and data infrastructure for interoperable storage and clinical decision making, 4) harmonizing regulatory and reimbursement policies, and 5) ensuring equitable access of pharmacogenomics. Findings underscore the need of a closer alignment through e.g. a dedicated network to move pharmacogenomics from an emerging innovation to a standard component of personalized medicine across Europe. Multidisciplinary collaboration throughout the implementation pathway will be crucial to advance pharmacogenomic-guided treatment and prevention as key part of personalized medicine.",Kreeftenberg Loes Lindiwe; Henneman Lidewij; Rigter Tessel; Gris Angelica Valz; LLerena Adrián; McDermott John H; Rutten-van Mölken Maureen; Vicente Astrid Moura; van Schaik Ron H N; Sharma Videha; Swen Jesse J; Cornel Martina C; van El Carla G,2026,European journal of human genetics : EJHG,Financing / reimbursement — supplementary,pending
42170577,"Magnetic resonance imaging in breast cancer management: current applications, limitations, and future directions.","Magnetic resonance imaging (MRI) has emerged as a cornerstone of breast cancer management, demonstrating superior sensitivity compared to mammography and ultrasound, particularly for high-risk screening and the evaluation of dense breast tissue. Beyond detection, MRI provides critical physiologic and anatomical assessment essential for accurate staging, visualizing invasive lobular carcinoma, and identifying multifocal or multicentric disease. It also plays a vital role in monitoring therapeutic response to neoadjuvant chemotherapy by distinguishing between concentric tumor shrinkage and fragmentation, a distinction that directly influences surgical eligibility. Despite these diagnostic advantages, the indications for preoperative MRI remain controversial. This review examines the tension between MRI's utility in surgical planning-specifically its association with reduced positive margins and lower re-excision rates-and concerns regarding overdiagnosis, increased mastectomy rates, and false-positive findings. Logistical barriers to widespread adoption, including cost-effectiveness, gadolinium concerns, and the need for standardized interpretation protocols, are also discussed. Finally, the article highlights transformative advancements designed to address these limitations. Technologies such as abbreviated (AB-MRI) and ultrafast acquisition protocols promise to maximize patient throughput and capture essential kinetic data, while diffusion-weighted imaging (DWI) and artificial intelligence (AI) aim to enhance diagnostic specificity and workflow efficiency. The review also considers contrast-enhanced mammography (CEM) as a growing alternative for patients unable to undergo MRI. As evidence evolves, the integration of these technologies points toward a future of precision medicine, where breast imaging is rigorously tailored to individual patient risk and biological profiles.",Sasson Daniel C; Sasson Arielle L; Eckstein Donna A; Margolies Laurie R,2026,Translational breast cancer research : a journal focusing on translational research in breast cancer,Financing / reimbursement — supplementary,pending
42169148,Paying for precision: funding approaches for N-of-1 trials of individualized gene targeted therapies.,"Individualized medicine has the potential to be a transformative approach to healthcare that tailors medical treatments to the unique makeup of each patient. This report explores the potential of individualized genetic medicines to meet the pressing need for effective treatments for individuals with rare genetic diseases, and funding models to support these treatments. Although recent successes have been achieved, significant administrative and financial challenges remain in implementing individualized treatment trials. This report investigates funding associated with such therapeutics. Funding challenges, key strategic operational factors, potential payor support, historic funding models, and ethical elements ultimately leading to financial support of patient treatment are considered. By addressing these questions, this report aims to provide an overview of the complex issues surrounding individualized medicine, offering insights into balancing its promises with practical and ethical considerations as the field and associated funding models continue to evolve.",Nolen Nicole; Aartsma-Rus Annemieke; Caneva Christine; Coughlin Ii Curtis R; Cousin Margot A; Douthwright Catherine; Graessner Holm; Kim-McManus Olivia; Kuniholm Ashley; Leonard Stefanie; Martinsen Andrea; Meserve Margaret; Synofzik Matthis; Yandava Booma; Yu Timothy W; Demarest Scott; Paxton Roger J,2026,Orphanet journal of rare diseases,Financing / reimbursement — supplementary,pending
42165842,Future Challenges of Molecular Imaging in Oncology.,"Molecular imaging in oncology sits at the intersection of science, technology, and patient care, offering powerful tools for advancing diagnosis and personalized treatment. Future developments are driven by scientific ambition and clinical need, aiming to improve patient outcomes by translating complex biological insights into practical applications. Key opportunities include improved biomarkers, higher-resolution imaging, and multimodal integration. Chronobiology adds the time dimension, enabling dynamic monitoring of tumor processes, though challenges remain in quantifying kinetics due to technical and procedural constraints. Risks include tool-driven research, where technology dictates clinical questions, rather than vice versa. This calls for needs-based development guided by clear scientific objectives. AI, especially deep learning, promises integration of complex datasets, though ethical and professional responsibility in its use is critical. Barriers include high costs, limited reimbursement, regulatory hurdles, and logistical challenges. Clinical translation is often delayed by insufficient funding and a lack of standardized protocols. Despite these, real-world clinical benefit is increasingly influencing adoption. Interdisciplinary collaboration is essential, supported by translational centers and data-sharing networks. Ultimately, molecular imaging enhances the continuum between anatomical imaging, histology, and molecular profiling. It enables dynamic, noninvasive assessment of cancer biology, supporting adaptive and personalized treatment strategies and reinforcing its role in precision oncology.",Schober Otmar; Kiessling Fabian; Debus Jürgen,2026,Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer,Financing / reimbursement — supplementary,pending
